a	art.一(个)；每一(个)；(同类事物中)任一个
aesthetic	a.(esthetic)美学的，艺术的；审美的
affair	n.[pl.]事务；事情(件)；(个人的)事
affect	vt.影响；(疾病)侵袭；感动 n.情感，感情
affection	n.爱，喜爱；爱慕之情；感情；疾病，不适
affiliate	v.使隶属(或附属)于 n.附属机构，分公司
affirm	vt.断言，坚持声称；肯定；证实,确认；
affluent	a.富裕的，富有的，丰富的，富饶的
afford	vt.担负得起(损失、费用、后果等)，买得起
afraid	adj.害怕的，恐惧的；犯愁的，不乐意的
after	prep.在...以后；在...后面 adv.以后，后来
afternoon	n.下午，午后
afterward	ad.(afterwards)以后，后来
again	ad.再次，另一次；重新；除此，再，更，还
against	prep.对着，逆；反对；违反；紧靠着；对比
age	n.年龄；时代；老年；长时间 v.(使)变老
agency	n.代理(处)；代办处；[美](政府的)机关，厅
agenda	n.议事日程，记事册
agent	n.代理人；代理商；产生作用的人或事物
aggravate	vt.加重(剧),使恶化；激怒,使恼火
aggressive	a.侵略的，好斗的，有进取心的，敢作敢为的
agitate	v.摇动(液体)；使焦虑不安；困扰；鼓动
ago	ad.(常和一般过去时的动词连用)以前，…前
agony	n.(精神或肉体的)极大痛苦，创伤
agree	vi.答应，赞同；适合，一致；商定，约定
agreeable	a.符合的；一致的；欣然同意的；令人愉快的
agreement	n.协定；协议；契约；达成协议；同意，一致
agriculture	n.农业，农艺，农耕
ahead	ad.在前面(头)；向(朝)前；提前
Aid	n.援助，救护；助手，辅助物 vi.援助，救援
Aim	n.目的；瞄准 vi.(at)目的在于 vt.把…瞄准
Air	n.空气；(复数)神气 vt.(使)通风；晾干
air-conditioning	n.空调设备，空调系统
aircraft	n.飞机，飞船，飞行器
airline	n.(飞机)航线  a.(飞机)航线的
airport	n.机场，航空站，航空港
Aisle	n.(教堂、教室、戏院等里的)过道，通道
alarm	n.惊恐；警报(器) vt.惊动，惊吓；向…报警
album	n.(同一表演者的)集锦密纹唱片;集邮册,相册
alcohol	n.酒精，乙醇；含酒精的饮料
Alert	a.机警的，警觉的；机灵的 vt.使…警觉
Alien	n.外侨，外国人；外星人 a.外国的；相异的
Alike	a.同样的，相像的ad.一样地；同程度地　
Alive	a.活着的；存在的；活跃的；(to)敏感的
All	a.全部的；非常的 ad.完全地，很 pron.全部
allege	v.断言，宣称；指控
alleviate	v.减轻，缓和，缓解(痛苦等)
alliance	n.同盟，同盟国；结盟，联姻
allocate	v.分配，分派；拨给；划归
Allow	vt.允许，准许；承认；给予；(for)考虑到
allowance	n.补贴，津贴；零用钱；减价，折扣；允许
Alloy	n.合金vt.将…铸成合金
Ally	n.同盟者，同盟国，vt.使结盟；与…有关联
almost	adv.几乎，差不多
alone	a.单独的，孤独的 ad.单独地，独自地；仅仅
along	ad.向前；和...一起，一同 prep.沿着，顺着
alongside	ad.在旁边 prep.和...在一起；在...旁边
aloud	adv.出声地，大声地
alphabet	n.字母表；初步，入门
already	ad.已，已经，早已
Also	ad.而且(也)，此外(还)；同样地
Alter	vt.改变，更改；改做(衣服) vi.改变，变化
alternate	a.交替的，轮流的 v.(使)交替，(使)轮流
alternative	n.二选一；供选择的东西；取舍 a.二选一的
although	conj.尽管，虽然...但是
altitude	n.高度，海拔；[pl.]高处，高地
altogether	ad.完全，总之，全部地；总共；总而言之
aluminum	n.(aluminium)铝
always	ad.总是，无例外地；永远，始终
amateur	a.&n.业余(水平)的(运动员、艺术家等)
amaze	vt.使惊奇，使惊愕；使困惑 vi.表现出惊奇
ambassador	n.大使；特使，(派驻国际组织的)代表
ambiguous	a.引起歧义的，模棱两可的，含糊不清的
ambition	n.对(成功、权力等)的强烈欲望，野心；雄心
ambitious	a.有抱负的，雄心勃勃的；有野心的
ambulance	n.救护车，救护船，救护飞机
amend	vt.修改，修订，改进
amiable	a.和蔼可亲的，友善的，亲切的
Amid	prep.在…中间，在…之中，被…围绕
among	prep.在…之中；在一群(组)之中；于…之间
amount	n.总数，数量；数额 v.共计；等同,接近(to)
ample	a.充分的，富裕的；宽敞的，宽大的
amplifier	n.放大器，扩大器
amplify	vt.放大，增强；详述，详加解说
amuse	vt.向…提供娱乐，使…消遣；引人发笑
analogue	n.类似物；相似体；模拟
analogy	n.类似，相似，类比，类推
analyse	vt.（analyze）分析，分解
analysis	n.(pl.analyses)分析；分解
analytic	a.(analytical)分析的；分解的
ancestor	n.祖宗，祖先；原型，先驱
anchor	n./v.锚；危难时可依靠的人或物；用锚泊船
ancient	a.古代的，古老的，古式的
and	conj.和，与，而且；那么；接连，又
anecdote	n.轶事，趣闻，短故事
angel	n.天使，安琪儿
anger	n.愤怒，气愤 vt.使发怒，激怒 vi.发怒
angle	n.角，角度 v.钓鱼；(采用各种方法）取得
angry	a.生气的，愤怒的；(天气)风雨交加的
anguish	n.(尤指心灵上的)极度痛苦，烦恼
animal	n.动物，野兽，牲畜 a.动物的，野兽的
ankle	n.足踝，踝关节
anniversary	n.周年，周年纪念日
announce	v.正式宣布；发表；通告；广播（电台节目）
annoy	vt.使恼怒，使生气；打扰 vi.招人讨厌
annual	a.每年的，一年生的 n.年刊；一年生植物
anonymous	a.匿名的，无名的，姓氏不明的
another	a.另一个，又，再 pron.另一个，类似的一个
answer	vt.回答，答复，答案 v.回答，答复，响应
ant	n.蚁；蚂蚁
antenna	n.(无线电或电视的)天线
anticipate	vt.预料；期望；预先考虑；抢先；提前使用
antique	a.古式的，过时的　n.有价值的古物，古董
anxiety	n.挂念，焦虑，焦急，忧虑；渴望，热望
anxious	a.焦虑的，担心的；急于(得到的)，渴望的
any	a.(用于否定句、疑问句等)什么,一些;任何的
anybody	pron.(否定句)任何人；(肯定句)随便哪个人
anyhow	ad.不管怎么说，无论如何；不论用何种方法
anyone	pron.(用于疑问句，否定式)任何人
anything	pron.任何东西(事物)；无论什么东西(事物)
anyway	ad.不管怎么说，无论如何；不论以何种方式
anywhere	ad.无论哪里；(用于否定、疑问等)任何地方
apart	ad.分离，离开，隔开 a.分离的，分隔的
apartment	n.[英]房间，套间；[美]公寓
apologise	v.(to,for)道歉，认错
apology	n.道歉，认错，辩解，辩护
appal	v.使惊骇，使恐怖
apparatus	n.器械，器具，仪器；机构，组织
apparent	a.表面上的,貌似真实的；显然的,明明白白的
appeal	vi.呼吁，恳求；申诉 n.呼吁；申诉；吸引力
appear	vi.出现；出场；问世；仿佛；出版，发表
appearance	n.出现，露面；外表；(在会议等)作短暂露面
appendix	n.附录，附属物；阑尾，盲肠
appetite	n.食欲，胃口；欲望，性欲；爱好，趣味
applaud	vt.鼓掌欢迎；赞同 vi.鼓掌欢迎，欢呼
applause	n.鼓掌；喝彩；夸奖，赞扬
apple	n.苹果，苹果树
appliance	n.电器；器械，装置；应用，适用
applicable	a.可应用(实施)的；适当的,合适的
application	n.申请，请求，申请书；应用，实施，实用性
apply	vi.(以书面形式)申请；请求 vt.应用；实施
appoint	vt.任命，委派；指定，约定(时间、地点等)
appointment	n.约会,约定；任命,委派;委任的职位
appraisal	n.对...作出的评价；评价，鉴定，评估
appreciate	vt.为...表示感激，感谢；欣赏，赏识，评价
approach	v.靠近，接近n.接近；途径，入门;方式,方法
appropriate	a.适当的,恰当的,特有的 vt.拨给,挪用,盗用


approval	n.批准，通过；赞成，同意
approve	v.(of)赞成，赞许，同意；批准，审议，通过
approximate	a.近似的 vi.(to)接近
April	(名)四月
apt	a.恰当的，适当的；易于…的，有…倾向的
arbitrary	a.任意的，任性的，主观的；专断的，武断的
arch	n.拱门，桥拱洞 v.拱起，(使)变成弓形
architect	n.建筑师；设计师；缔造者；创造者
architecture	n.建筑，建筑学；建筑式样或风格，建筑物
area	n.面积；地区，地域；领域，范围
argue	vi.辩论，争论 vt.辩论，论证；说服，劝说
argument	n.争论(吵)，辩论；理由;论证
arise	v.出现，发生；(from)由…引起，由…产生
arithmetic	n.算术，四则运算
arm	n.手臂，扶手，臂状物 v.武装；配备 n.武器
army	n.军队，陆军，军；大群，大批
around	ad.在...周围，到处 prep.在..四周(或附近)
arouse	vt.唤醒，叫醒；唤起，激起
arrange	v.安排，筹划；整理，使有条理，排列，布置
array	n.大量；排列；盛装 v.列阵；装扮；排列
arrest	n.逮捕，扣留 vt.逮捕，扣留；阻止；吸引
arrival	n.到达，到来；到达者，到达物
arrive	vi.到达；(时间、事件)到来，发生；达到
arrogant	a.傲慢的，自大的
arrow	n.箭，矢，箭状物；箭头符号
art	n.艺术，美术；技术，技艺；文科，人文科学
artery	n.动脉；干线，要道
article	n.文章，论文；条款，条文；物件；冠词
articulate	a.善于表达的；有关节相连的 v.清楚地讲话
artificial	a.人工的，人造的，人为的；虚伪的，做作的
artist	n.艺术家，美术家；(某方面的)能手
artistic	a.艺术(家)的，美术(家)的；善于艺术创作的
as	ad.同样地 conj.由于；像...一样 prep.作为
ascend	vi.渐渐上升，升高vt.攀登，登上
ascertain	vt.确定，查明，弄清
ash	n.灰，灰末；(pl.)骨灰；(pl.)废墟
ashamed	a.惭愧的，羞耻的，害臊的
ashore	ad.上岸；在岸上，向岸上
aside	ad.在旁边，到一边 n.旁白；离题的话
ask	vt.问，询问；请求，要求；邀请，约请
asleep	a.睡觉，睡着(用作表语)
aspect	n.样子, 外表, 面貌, (问题等的)方面
aspire	vi.(to，after)渴望，追求，有志于
assassinate	vt.暗杀，行刺；中伤
assault	v.猛烈地攻击，袭击 n.突然而猛烈的攻击
assemble	vt.集合，召集；装配；收集 vi.集合，聚集
assembly	n.集合；会议；装配；(美)洲议会的众议院
assert	vt.断言,宣称；坚持；主张（权利、权威等）
assess	vt.(为征税)评估(财产、收入)；征税；评价
asset	n.(pl.)资产,财产；有价值的物品；天赋
assign	vt.派给，分配；选定，指定(时间、地点等)
assignment	n.分配，指派；(指定的)作业，(分派的)任务
assimilate	vt.吸收，消化；使同化 vi.被吸收；被同化
assist	vt.协助，帮助，促进 vi.帮忙，参加
assistance	n.协作; 援助; 帮助
assistant	a.帮助的，辅助的 n.助手，助教；辅助物
associate	vt.联想；交往；联合；n.伙伴；a.联合的
association	n.联盟，协会，社团；交往，联合；联想
assume	vt.假装；假定，设想；承担；呈现，采取
assumption	n.假定，设想；采取；承担；推测；假装
assurance	n.保证,担保；确信,断言；信心,信念
assure	vt.使确信，使放心(of)；向…保证
astonish	vt.使惊讶，使吃惊
astronaut	n.太空人，太空旅行者
astronomy	n．天文学
at	prep.[表示价格、速度等]以，达；在..方面
athlete	n.运动员，体育家，身强力壮的人
atmosphere	n.大气(层)；空气；气氛，环境；大气压
atom	n.原子；微粒，微量
attach	v.系，贴，装，连接；使成为一部分；使依恋
attack	v./n.攻击，抨击；着手，开始  n.(病)发作
attain	vt.达到；完成；获得 vi.达到
attempt	vt.企图，试图 n.努力，尝试，企图
attend	vt.出席，参加；照顾，护理 vi.注意；侍奉
attendance	n.出席；出席人数；护理，照料
attendant	n.陪从；出席人；服务员 a.出席的；伴随的
attention	n.注意，注意力；立正；特别照顾；照料
attitude	n.态度，看法(to, toward, about)；姿势
attorney	n.(业务或法律事务上的)代理人；辩护律师
attract	vt.引起的注意(或兴趣等),吸引；引起；激起
attractive	a.吸引人的，引人注意的；漂亮的，迷人的
attribute	v.(to)归因于,归属于 n.属性,品质,特征
auction	n.／vt.拍卖
audience	n.听众，观众，读者；见面，会见
audio	n./a.音频(响)(的)；声音(的)，听觉(的)
audit	v.审计；查帐；核对；旁听
auditorium	n.观众席，听众席；会堂，礼堂
augment	vt.(使)增大，增加，增长，扩张
August	n.8月
aunt	n.姨母，姑母，伯母，婶母，舅母，阿姨
aural	a.听觉的，听力的
authentic	a.真的，真正的；可靠的，可信的，有根据的
author	n.作者，作家，著作人；创始人，发起人
authority	n.权力，权威；权威人士；(pl.)官方，当局
auto	n.(automobile)(口语)汽车
automatic	a.自动(装置)的；无意识的；n.自动机械
automation	n.自动，自动化，自动操作
autonomy	n.自治，自治权；
autumn	n.秋，秋季；成熟期，渐衰期
auxiliary	a.辅助的，支援的 n.辅助者，辅助设备
avail	n.[一般用于否定句或疑问句中]效用,利益
available	a.(用于物)可利用的；可见到的，接受采访的
avenue	n.林荫路，大街；(比喻)途径，渠道，方法
average	n.平均,平均数 a.平均的；普通的 v.平均
avert	v.防止，避免 ；转移(目光、注意力等)
aviation	n.航空，航空学；飞机制造业
avoid	vt.防止，避免；逃避，避开
await	vt.等候，期待；(事情等)降临于
awake	a.醒着的 vt.唤醒，使觉醒 vi.醒来，醒悟到
award	vt.授予,给予；判定 n.奖,奖金；仲裁
aware	a.知道的，意识到的；
away	ad.在远处；离开；渐渐远去；一直；去掉
awe	n.敬畏，惊惧vt.使敬畏，使惊惧
awful	a.极度的，极坏的；威严的，可怕的
awkward	a.笨拙的；尴尬的；使用不便的；难处理的
axe	n.（ax）斧子；削减 vt.用斧砍
axis	n.轴，轴线，中心线；坐标轴，基准线
baby	n.婴儿；年龄最小的人；小动物 a.婴儿似的
bachelor	n.单身汉;(亦作B-)学士(学位)
back	a.后面的 ad.向后 v.倒退；支持 n.背；后面
background	n.背景,经历；幕后
backward	a.向后的,倒行的;迟钝的 ad.向后,朝反方向
bacon	n.咸猪肉,熏猪肉
bacterium	n.(pl.)bacteria 细菌
bad	a.坏的；低劣的；不舒服的；腐败的；严重的
badge	n.徽章,像章；标记；象征；记号
badly	ad.非常，严重地；坏地，差地，拙劣地
badminton	n.羽毛球
bag	n.袋，提包 v.把…装入袋中；猎杀；占有
baggage	n.行李
bait	n.饵，引诱物 vt.用饵引诱；折磨，奚落
bake	v.烤,烘,焙;烧硬,焙干
balance	v.称,(使)平衡 n.天平;平衡,均衡;差额,余款
balcony	n.阳台；(电影院等的)楼厅，楼座
bald	a.秃的,秃头的
ball	n.球(状物);(正式的)舞会vt.把…捏成球状
ballet	n.芭蕾舞，芭蕾舞剧；芭蕾舞团
balloon	n.气球,飞船；a.气球状的 v.乘坐气球；膨胀
ballot	n.(不记名)投票；投票总数；投票权 vi.投票
ban	v.取缔,查禁;(from)禁止 n.禁止,禁令
banana	n.香蕉
band	n.条,带;乐队;波段;一群,一伙 v.缚,绑扎
bandage	n.绷带 v.用绷带扎缚
bang	n.砰砰的声音;猛击 v.砰地关上,猛撞,猛击
bank	n.银行；岸,堤；vi.存入(经营)银行；信赖
bankrupt	a.破产的；彻底缺乏的 vt.使破产n.破产者
banner	n.旗(帜)
banquet	n.(正式的)宴会 vi.参加宴会 vt.宴情
bar	n.条,杆,闩;酒吧;栅,障碍(物) v.闩上,阻拦
barbecue	n.烤肉；烤肉用的台架 vt.炙烤(肉等)
barber	n.理发师
bare	a.赤裸的,空的;稀少的,仅有的 v.露出,暴露
barely	ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有
bargain	n.廉价货;交易,契约,合同 v.议价,成交
bark	vi.(狗等)吠，叫n.吠声，叫声；树皮
barn	n.谷仓,仓库
barrel	n.桶;枪管,炮管
barren	a.贫瘠的；不育的；(植物)不结果的；无用的
barrier	n.栅栏,屏障;障碍(物)
base	n.基础,底部;根据地 v.(on)把…基于
baseball	n.棒球
basement	n.建筑物的底部,地下室,地窖
basic	a.基本的,基础的
basin	n.盆,脸盆;内海,盆地
basis	n.基础,根据
basket	n.筐，篮，篓
basketball	n.篮球，篮球运动
bat	n.球拍,球棒,短棒;蝙蝠
batch	n.一批,一组,一群
bath	n.沐浴,洗澡;浴室(池,盆) v.(给…)洗澡
bathe	v.游泳,洗澡,浸,弄湿
bathroom	n.浴室;盥洗室,卫生间
battery	n.电池(组)；(器具等的)一组，一套；炮兵连
battle	n.战役,战斗;斗争 v.战斗,斗争,搏斗
bay	n.海湾,(港)湾
be	v.(就)是，等于；(存)在；到达，来到，发生
beach	n.海滩,湖滩,河滩
beam	n.(横)梁,桁条;(光线的)束,柱 v.微笑
bean	n.豆;菜豆,蚕豆
bear	n.熊 v.忍受,容忍;负担;结果实,生子女
beard	n.胡须
bearing	n.轴承；忍受；关系，影响；举止；方向
beast	n.兽,牲畜;凶残的人,举止粗鲁的人
beat	n.敲打;(心脏等)跳动 v.打败;(心脏等)跳动
beautiful	a.美的，美丽的；出色的，完美的
beauty	n.美，美丽；美人，美丽的事物
because	conj.因为，由于
become	vi.变成，开始变得vt.适合，同…相称
bed	n.床,床位；(苗)床,坛；河床，(湖、海的)底
bee	n.蜂，蜜蜂；忙碌的人
beef	n.牛肉
beer	n.啤酒
before	prep.(指时间)在…以前,在..前面，在..之前
beforehand	ad.预先,事先
beg	vt.请求，乞求 vi.恳请，行乞
begin	v.(began,begun)开始，着手
beginning	n.开始，开端；起源，早期阶段
behalf	n.利益
behave	v.举止,举动,表现;运转,开动
behavior	n.(behaviour)行为,举止；(机器等)运转情况
behind	prep.在...的背后，(遗留)在..后面；落后于
being	n.生物，生命,存在；
belief	n.信任，相信，信念；信仰，信条
believe	vt.相信，认为 vi.相信，信任，信奉
bell	n.钟,铃
belly	n.肚子，腹部；(像肚子一样)鼓起的部分，膛
belong	v.(to)属于,附属,隶属;应归入(类别,范畴等)
beloved	a./n.受爱戴的,敬爱的;爱人,被心爱的人
below	prep.在…下面，在…以下 ad.在下面，向下
belt	n.(皮)带,腰带;地带
bench	n.长凳,条凳;(工作)台,座
bend	v.(使)弯曲;屈从,屈服 n.弯曲(处),曲折处
beneath	prep.在…下边,在…之下 ad.在下方
beneficial	a.(to)有利的,有益的
benefit	n.利益,好处,恩惠 v.有益于;(from,by)受益
benign	a.(病)良性的,(气候)良好的,仁慈的,和蔼的
beside	prep.在...旁边，在...附近；和...相比
besides	ad.此外；并且 prep.于…之外；除…以外
best	a.最好的(good和well最高级) ad.最好地；最
bet	v.赌,打赌 n.打赌,赌注
betray	v.背叛,出卖;暴露,流露,泄露
better	a.较好的 ad.更好(地) v.改良 n.较佳者
between	prep.在…之间，在(两者)之间 ad.在中间
beverage	n.(水，酒等之外的)饮料
beware	v.当心,谨防
bewilder	v.使迷惑,难住
beyond	prep.在(或向)...的那边，远于；超出；
bias	n./v.(使有)偏见,偏心,偏袒
Bible	n.圣经
bibliography	n.(有关某一专题的)书目；参考书目
bicycle	n.(bike)自行车 vi.骑自行车
bid	v.祝愿;命令,吩咐;报价,投标 n.出众,投标
big	a.大的；重要的；宽宏大量的；大受欢迎的
bill	n.账单;招贴,广告;(人员,职称等的)表;钞票
billion	num./n.(美)十亿,(英)万亿
bin	n.(贮藏食物等用的)箱子
bind	v.捆,绑,包括,束缚
biography	n.传记；传记文学
biology	n.生物学
bird	n.鸟，雀；女人；嘘声
birth	n.出生，诞生；出身，血统；起源；出现
birthday	n.生日；(成方)纪念日
biscuit	n.饼干,点心
bite	v./n.咬,叮 n.一口
bitter	a.(有)苦(味)的;痛苦的,厉害的
bizarre	adj.异乎寻常的，稀奇古怪的
black	a.黑(色)的；黑暗的 n.黑(色)；黑暗；黑人
blackboard	n.黑板
blackmail	n.讹诈，敲诈，勒索；胁迫，恫吓
blade	n.刀刃，刀片；桨叶；草叶，叶片


blame	v.责备;怪,把…归咎于 n.责任,过错;责备
blank	a.空白的,空着的;失色的 n.空白;表格
blanket	n.毯子(可数)；厚厚一层(可数) vt.铺上一层
blast	n.一阵(风);爆炸冲击波;管乐器声 v.爆炸
blaze	n.火焰;火光;闪光,光辉  v.燃烧,冒火焰
bleak	a.荒凉的;冷酷的;没有希望的
bleed	v.出血,流血
blend	n.混合(物) v.混和,混杂
bless	v.祝福,保佑
blind	a.盲的，瞎的；盲目的 vt.使失明 n.百叶窗
block	n.大块木（石）料;街区;障碍物 v.阻塞,拦阻
blood	n.血液，血；血统，血亲；血气
bloody	a.流血的,血腥的
bloom	n.花(朵);开花(期) v.开花
blossom	n.花(簇)；花期；青春 vi.开花；展开；繁荣
blouse	n.女衬衣，短上衣，宽阔的罩衫
blow	vi.吹，吹气，打气；吹奏；爆炸；n.打,打击
blue	a.蓝色的;青灰色的；沮丧的,阴郁的 n.蓝色
blueprint	n.蓝图，设计图，计划 vt.制成蓝图，计划
blunder	v.(因无知等而)犯大错;踉踉跄跄地走 n.大错
blunt	a.率直的;钝的 v.(使)钝;(使)迟钝
blur	n.模糊不清的事物；污点 vt.使模糊；玷污
blush	v./n.脸红
board	n.板,木板;全体委员;伙食 v.上船(车,飞机)
boast	v.(of,about)自夸,夸耀 n.自夸,大话
boat	n.小船,艇
body	n.身体,本体;主体;尸体;物体;(一)群,批,堆
boil	v.(使)沸腾,煮(沸)
bold	a.大胆的,勇敢的;冒失的;黑体的,粗体的
bolt	n.螺栓,(门,窗的)插销 v.闩(门),关窗,拴住
bomb	n.炸弹 v.投弹于,轰炸
bond	n.结合(物),粘结(剂),联结;公债,债券,契约
bone	n.骨(骼)
bonus	n.奖金,红利
book	n.书，书籍 vt.订(票，座位，房间等)，预定
boom	v.迅速发展,兴旺;发出隆隆声
boost	n./ vt.提升；增加；抬高（价格）；支援；
boot	n.靴；(汽车后部的)行李箱；[the-]解雇
booth	n.电话亭,货摊
border	n.边界,国界;边(沿) v.交界,与…接壤;接近
bore	v.钻(孔),挖(洞);烦扰 n.讨厌的人,麻烦事
born	a.出生的，产生的；天生的，十足的
borrow	vt.借，借入；(思想、文字等)采用，抄袭
bosom	n.胸，胸部；胸怀；内心；a.亲密的
boss	n.老板，上司 vt.指挥，控制，发号施令
both	prep.两者(都)，双方(都） adj.两个..(都)
bother	vt.打扰，麻烦 vi.担心，烦恼 n.烦恼，焦急
bottle	n.瓶(子) v.装瓶
bottom	n.底(部);基础,根基;海底,湖底,河床
bounce	n./vi.(球)弹起,弹回；弹起,跳起；n.弹力
bound	v./n.跳(跃) a.被束缚的，一定的；n.界限
boundary	n.分界线,边界
bow	v./n.鞠躬,点头 n.弓(形);蝴蝶结
bowel	n.肠；［pl.］内部，深处
bowl	n.碗(状物),钵
bowling	n.保龄球运动
box	n.盒，箱；包厢 v.把…装箱；拳击，打耳光
boy	n.男孩子，儿子；男性服务员
boycott	n./v.(联合)抵制,拒绝参与
brace	v.使防备;支撑;使(手,足,肩等)绷紧 n.托架
bracket	n.(方)括号
brain	n.(大)脑,骨髓;(pl.)脑力,智能
brake	v./n.制动(器),闸,刹车
branch	n.(树)条,分支;分店;(学科)分科,部门;支流
brand	n.商标,标记,牌子 v.使铭记;打火印,打烙印
brandy	n.白兰地酒
brass	n.黄铜,铜器
brave	a.勇敢的 v.勇敢地面对(危险等)
breach	n.违反，不履行；破裂 vt.冲破，攻破
bread	n.面包
breadth	n.宽度,幅
break	vt.打破；中止；违反 vi.破(裂) n.休息时间
breakdown	n.崩溃；衰竭；(关系、计划或讨论等的)中断
breakfast	n.早餐 v.(给某人)吃早餐
